No.,User Name,Operation Time,Operation Source,Parameters,
1,"	installer", 2026-04-09 21:02:48, WEB,"	Login IP: 192.168.100.1"
2,"	installer", 2026-04-09 20:55:23, WEB,"	Logout: due to timeout"
3,"	installer", 2026-04-09 20:24:14, WEB,"	Login IP: 192.168.100.1"
4,"	installer", 2026-04-09 11:55:12, WEB,"	Logout: due to timeout"
5,"	installer", 2026-04-09 11:48:05, WEB,"	Failed to upload upgrade package"
6,"	installer", 2026-04-09 11:48:02, WEB,"	Upload File: SmartLogger3000.zip"
7,"	installer", 2026-04-09 11:41:58, WEB,"	Encrypted configuration file exported successfully"
8,"	installer", 2026-04-09 11:40:14, WEB,"	Login IP: 192.168.100.1"
9,"	installer", 2026-04-09 11:40:14, WEB,"	Logout: due to user login"
10,"	installer", 2026-04-09 11:24:27, WEB,"	Rated ESS capacity change to 8000"
11,"	installer", 2026-04-09 11:24:27, WEB,"	Rated ESS power change to 2000"
12,"	installer", 2026-04-09 11:24:27, WEB,"	Rated PV power change to 0"
13,"	installer", 2026-04-09 11:24:27, WEB,"	Rated power of plant change to 2000"
14,"	installer", 2026-04-09 11:24:27, WEB,"	Plant type change to 1"
15,"	installer", 2026-04-09 11:24:27, WEB,"	Plant name change to Nakatsu"
16,"	installer", 2026-04-09 11:23:51, WEB,"	Rated ESS capacity change to 8000"
17,"	installer", 2026-04-09 11:23:51, WEB,"	Rated ESS power change to 2000"
18,"	installer", 2026-04-09 11:23:51, WEB,"	Rated PV power change to 0"
19,"	installer", 2026-04-09 11:23:51, WEB,"	Rated power of plant change to 2000"
20,"	installer", 2026-04-09 11:23:51, WEB,"	Plant type change to 1"
21,"	installer", 2026-04-09 11:23:51, WEB,"	Plant name change to Nakatsu_testhenkou"
22,"	installer", 2026-04-09 11:20:18, WEB,"	All historical data exported successfully"
23,"	installer", 2026-04-09 11:19:21, WEB,"	Performance data exported successfully"
24,"	installer", 2026-04-09 11:18:32, WEB,"	Historical alarms exported successfully"
25,"	installer", 2026-04-09 11:13:49, WEB,"	Login IP: 192.168.100.1"
26,"	installer", 2026-04-09 10:55:52, WEB,"	Logout: due to timeout"
27,"	installer", 2026-04-09 10:48:34, WEB,"	Login IP: 192.168.100.1"
28,"	installer", 2026-04-09 10:44:39, WEB,"	Logout: due to timeout"
29,"	installer", 2026-04-09 10:36:36, WEB,"	Login IP: 192.168.100.1"
30,"	installer", 2026-04-09 08:54:31, WEB,"	Logout: due to timeout"
31,"	installer", 2026-04-09 08:29:45, WEB,"	Login IP: 192.168.100.1"
32,"	installer", 2026-04-09 08:26:29, WEB,"	Logout: due to timeout"
33,"	installer", 2026-04-09 08:19:44, WEB,"	Login IP: 192.168.100.1"
34,"	installer", 2026-04-08 15:54:41, WEB,"	Logout: due to timeout"
35,"	installer", 2026-04-08 15:36:13, WEB,"	Login IP: 10.4.100.181"
36,"	installer", 2026-04-08 13:54:59, WEB,"	Logout: due to timeout"
37,"	installer", 2026-04-08 13:41:02, WEB,"	Login IP: 192.168.100.1"
38,"	installer", 2026-04-08 13:29:17, WEB,"	Logout: due to timeout"
39,"	installer", 2026-04-08 13:22:46, WEB,"	Login IP: 192.168.100.1"
40,"	installer", 2026-04-08 13:16:15, WEB,"	Logout IP: 192.168.100.1"
41,"	installer", 2026-04-08 13:15:50, WEB,"	config_guide.asp. finishBtn. complete step is . "
42,"	installer", 2026-04-08 13:13:28, WEB,"	Login IP: 192.168.100.1"
43,"	installer", 2026-04-07 22:16:54, WEB,"	Logout: due to timeout"
44,"	installer", 2026-04-07 21:53:07, WEB,"	Login IP: 10.4.100.181"
45,"	installer", 2026-04-07 20:42:19, WEB,"	Logout: due to timeout"
46,"	installer", 2026-04-07 19:31:38, WEB,"	NTP backup server authentication: enable->disable"
47,"	installer", 2026-04-07 19:31:38, WEB,"	NTP primary server authentication: enable->disable"
48,"	installer", 2026-04-07 19:31:38, WEB,"	NTP synchronization interval: 1->1440"
49,"	installer", 2026-04-07 19:31:38, WEB,"	NTP primary server IP address: 127.0.0.1->10.4.200.123"
50,"	installer", 2026-04-07 19:31:38, WEB,"	NTP: disable->enable"
51,"	installer", 2026-04-07 19:31:38, WEB,"	SmartPPC-Time synchronization source: NTP"
52,"	installer", 2026-04-07 19:31:13, WEB,"	Test NTP primary successed: 10.4.200.123, auth disable"
53,"	installer", 2026-04-07 19:29:38, WEB,"	Login IP: 10.4.100.181"
54,"	installer", 2026-04-07 17:47:18, WEB,"	Logout: due to timeout"
55,"	installer", 2026-04-07 17:34:45, WEB,"	SmartPPC-Northbound Modbus TCP-Local network port for network A: SFP1/GE1->SFP1/GE1"
56,"	installer", 2026-04-07 17:34:45, WEB,"	SmartPPC-Northbound Modbus TCP-Local network port for network B: SFP2/GE2->SFP2/GE2"
57,"	installer", 2026-04-07 17:34:45, WEB,"	SmartPPC-Northbound Modbus TCP device 7-IP address of network A: 192.168.100.200->0.0.0.0"
58,"	installer", 2026-04-07 17:34:08, WEB,"	Login IP: 10.4.100.181"
59,"	installer", 2026-04-07 15:51:04, WEB,"	Logout: due to timeout"
60,"	installer", 2026-04-07 15:44:59, WEB,"	SmartPPC-Northbound Modbus TCP-Local network port for network A: SFP1/GE1->SFP1/GE1"
61,"	installer", 2026-04-07 15:44:59, WEB,"	SmartPPC-Northbound Modbus TCP-Local network port for network B: SFP2/GE2->SFP2/GE2"
62,"	installer", 2026-04-07 15:44:59, WEB,"	SmartPPC-Northbound Modbus TCP device 7-IP address of network A: 0.0.0.0->192.168.100.200"
63,"	installer", 2026-04-07 15:44:42, WEB,"	Login IP: 192.168.100.200"
64,"	installer", 2026-04-07 15:44:34, WEB,"	Logout: due to timeout"
65,"	installer", 2026-04-07 15:32:56, WEB,"	Get north port record file"
66,"	installer", 2026-04-07 15:32:52, WEB,"	Select packet capture port change to 32"
67,"	installer", 2026-04-07 15:32:52, WEB,"	Northbound packet recording duration change to 30"
68,"	installer", 2026-04-07 15:32:52, WEB,"	Enable northbound packet recording change to 2"
69,"	installer", 2026-04-07 15:32:40, WEB,"	Login IP: 192.168.100.200"
70,"	installer", 2026-04-07 13:57:54, WEB,"	Logout: due to timeout"
71,"	installer", 2026-04-07 13:42:45, WEB,"	Get north port record file"
72,"	installer", 2026-04-07 13:42:40, WEB,"	Select packet capture port change to 97"
